provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"071819","1992750855","CHARTER OAK HEALTH CENTER, INC","21 GRAND ST","HARTFORD",CT,"061061541",,41.7591748,-72.6853905,"8605507500","00-04",,,"07-1819",,,,
"371831","1134138720","KIAMICHI FAMILY MEDICAL CENTER","500 MAIN STREET","BROKEN BOW",OK,"74728","089",34.031479,-94.736975,"5802415294","00-04","21-01",true,,"800522170","06",,
"141933","1992784300","HAMILTON CLINIC","951 BROADWAY","HAMILTON",IL,"623411436","067",40.392285,-91.35651,"2178472112","00-04","21-01",true,,"203427","05",,
"161816","1558340968","COMMUNITY HEALTH CENTERS OF SW IOWA","400 N  17TH STREET","KEOKUK",IA,"526323452","111",40.407894,-91.38894,"3197532300","00-04","21-01",true,,"I7904","07",,
"041847","1780645481","HEBER SPRINGS FAMILY HEALTH CENTER","309 SOUTHRIDGE BLVD- SUITE A","HEBER SPRINGS",AR,"725431701","023",35.4976958,-92.0324875,"5013627595","00-04","21-01",true,,"CN2572","06",,
"VN0497","1649236225","NORTHERN COUNTIES HEALTH CARE INC","165 SHERMAN DR","SAINT JOHNSBURY",VT,"058199811",,44.447807,-72.0127693,"8027489405","00-04",,,,,,,
"471808","1851418230","ST JOHNSBURY FAMILY HEALTH CTR","185 SHERMAN DRIVE, SUITE 1","SAINT JOHNSBURY",VT,"058199811","005",44.4482202,-72.0128106,"8027485041","00-04","21-01",true,,,"01",,
"261807","1508867508","FAMILY CARE HEALTH CENTERS","401 HOLLY HILLS AVE","SAINT LOUIS",MO,"631112410",,38.558087,-90.251074,"3144811615","00-04",,,,"26-1807",,,
"381948","1083633184","DESCHUTES COUNTY MENTAL HEALTH ANNEX","375 NW BEAVER STREET","PRINEVILLE",OR,"977541802",,44.30354267346939,-120.848408,"5414470707","00-04",,,,,,,
"491849","1982817706","EMPORIA MEDICAL CENTER","510 NORTH MAIN STREET","EMPORIA",VA,"238471236","081",36.69539369207208,-77.53805296416098,"4346962165","00-04","21-01",true,,"C08100","03",,
"511807","1649250309","HARTS HEALTH CLINIC, INC","4 STATE ROUTE 10","HARTS",WV,"255249788","039",38.044059000000004,-82.14456012478777,"3048554595","00-04","21-01",true,,"5118072","03",,
"511808","1699740472","UPPER KANAWHA HEALTH ASSOCIATION, INC","408 ALEXANDER STREET, P O BOX F","CEDAR GROVE",WV,"25039","039",38.21881172342004,-81.43225706943203,"3045951770","00-04","21-01",true,,"5118082","03",,
"511809","1528038577","VALLEY HEALTH WAYNE","203 KENOVA AVENUE","WAYNE",WV,"255709553","099",38.22438178744741,-82.4448678123122,"3042725136","00-04","21-01",true,,"5118092","03",,
"341851","1871589762","ADVANCE COMMUNITY HEALTH","1011 ROCK QUARRY ROAD","RALEIGH",NC,"276103825","183",35.76801657277963,-78.61650910558856,"9192313180","00-04","21-01",true,,,"04",,
"551917","1598858169","OPEN DOOR COMMUNITY HEALTH CENTERS","1644 CENTRAL AVENUE","MCKINLEYVILLE",CA,"955194342",,40.936812377510044,-124.10107183534136,"7078393068","00-04",,,,,,,
"261865","1053433920","NORTHWEST HEALTH SERVICES INC","707 VICTORY LANE","CAINSVILLE",MO,"646329506",,40.437792,-93.775364,"6608935750","00-04",,,,,,,
"041849","1760443469","JONESBORO FAMILY HEALTH CENTER","1530 NORTH CHURCH STREET","JONESBORO",AR,"724011515","031",35.858878454545454,-90.70323281818182,"8708023586","00-04","21-01",true,,"CN2572","06",,
"491822","1972631661","KING WILLIAM COMMUNITY DOCTORS","11814 KING WILLIAM ROAD","AYLETT",VA,"230094103","101",37.7859741,-77.1049728,"8047693022","00-04","21-01",true,,,"03",,
"211828","1457301939","TRI-STATE COMMUNITY HEALTH CENTER INC","621 KELLY RD","CUMBERLAND",MD,"215022878",,39.6445763,-78.77950197386707,"3017223270","00-04",,,,"S865",,,
"491809","1952434383","SALTVILLE MEDICAL CENTER","531 W MAIN STREET, P O BOX 729","SALTVILLE",VA,"243703112","173",36.87369877498187,-81.77287770552552,"7034964433","00-04","21-01",true,,"C08575","03",,
"391851","1538166905","KEYSTONE RURAL HEALTH CENTER","820 5TH AVE","CHAMBERSBURG",PA,"172014219",,39.939192,-77.650068,"7172634313","00-04",,,,,,,
"451942","1649265646","BRAZOS VALLEY COMMUNITY ACTION AGENCY","3370 S TEXAS AVE","BRYAN",TX,"778023127",,30.640135588235296,-96.34955576470588,"9795951700","00-04",,,,,,,
"261863","1144280132","RURAL ALLIANCE FOR BETTER FAMILY HEALTH","1137 INDEPENDENCE DR","WEST PLAINS",MO,"657754221",,36.74510567412507,-91.86996511503156,"4172558464","00-04",,,,,,,
"041848","1467543892","HUNTSVILLE CLINIC","720 PHILLIPS DRIVE","HUNTSVILLE",AR,"727402740","087",36.0884253,-93.7375258,"8704485101","00-04","21-01",true,,,"06",,
"231886","1720152275","HAMILTON COMMUNITY HEALTH NETWORK INC","G3375 S SAGINAW ST","BURTON",MI,"485291244",,42.979508,-83.673823,"8107436830","00-04",,,,,,,
"251903","1649371477","GREATER MERIDIAN HEALTH CLINIC, INC.","2701 DAVIS ST","MERIDIAN",MS,"393015708",,32.362679,-88.705173,"6016930118","00-04",,,,,,,
"011920","1104973353","NORTHEAST ALABAMA HEALTH SERVICES, INC.","34617 AL HIGHWAY 75","FYFFE",AL,"359713488",,34.4470207,-85.9039621,"2566235242","00-04",,,,,,,
"251902","1508057076","DELTA HEALTH CENTER","1414 HOSPITAL ST","GREENVILLE",MS,"387033217",,33.41191442857143,-91.03508071428571,"6623353991","00-04",,,,,,,
"321888","1265425425","HMS - MED SQUARE CLINIC","114 WEST 11TH STREET","SILVER CITY",NM,"880615124","017",32.77671512782637,-108.27638232087247,"5053881511","00-04","21-01",true,"32 1888","400521008","06",,
"321889","1073506911","HMS-COBRE HEALTH CLINIC","1107 FOY HIGHWAY","BAYARD",NM,"880239648","017",32.7617982,-108.130584,"5055376125","00-04","21-01",true,"32 1889","400521008","06",,
"381851","1447332994","NORTHWEST HUMAN SERVICES","180 ATWATER ST N","MONMOUTH",OR,"973611801",,44.84924696022845,-123.22341343000217,"5036063288","00-04",,,,"R0000WCHJM",,,
"381850","1790865798","NORTHWEST HUMAN SERVICES, INC","694 CHURCH STREET NE","SALEM",OR,"973012401","047",44.945578,-123.0320307,"5035885828","00-04","21-01",true,,,"10",,
"321891","1073775326","SCHOOL BASED HEALTH CENTER","2300 ARENAL ROAD SOUTHWEST","ALBUQUERQUE",NM,"871054160","001",35.04926125,-106.69600840827383,"5058737400","00-04","21-01",true,,,"06",,
"161818","1124177407","PRIMARY HEALTH CARE","3905 EAST 29TH STREET","DES MOINES",IA,"503174253","153",41.6276181,-93.5612221,"5152481449","00-04","21-01",true,,"I9909","07",,
"141938","1538209077","AUNT MARTHA'S CARPENTERSVILLE COMMUNITY HEATLH CTR","3003 WAKEFIELD","CARPENTERSVILLE",IL,"601102422","089",42.106553,-88.247072,"8478518600","00-04","21-01",true,,,"05",,
"141937","1922148501","AUNT MARTHA'S YOUTH SERVICE CENTER","1644 VINCENNES","OLYMPIA FIELDS",IL,"604611021","031",41.5164045,-87.70289568910842,"7087562001","00-04","21-01",true,,,"05",,
"341865","1821192865","SILER CITY COMMUNITY HEALTH CENTER","224 S 10TH AVENUE","SILER CITY",NC,"273442779","037",35.724486299999995,-79.4485027,"9196631744","00-04","21-01",true,,,"04",,
"321890","1801889878","HMS - MIMBRES VALLEY CLINIC","2743 B HIGHWAY 35 NORTH","MIMBRES",NM,"88049","017",32.856238,-107.9797623,"5055363990","00-04","21-01",true,"32 1890","400521008","06",,
"391832","1285699686","MARIA DE LOS SANTOS HLTH CTR","401-55 W ALLEGHENY AVE","PHILADELPHIA",PA,"191302908","101",40.0004085,-75.1431756,"2152359600","00-04","21-01",true,,,"03",,
"511886","1356403703","WIRT JACKSON COUNTY COMM HEALTH CTR","606 WASHINGTON STREET","RAVENSWOOD",WV,"261641730","035",38.953772792967925,-81.7654920887921,"3042731033","00-04","21-01",true,,"5118861","03",,
"101916","1285644799","RUSKIN HEALTH CENTER","2814 14TH AVENUE SE - POB 1349","RUSKIN",FL,"335705471","057",27.701360299999997,-82.42379802430135,"8136454681","00-04","21-01",true,,"98974","04",,
"451947","1841316288","CANYON HEALTH CENTER","700 SOUTH FRIO","CAMP WOOD",TX,"78833","385",29.6693924,-100.0122911,"8305976424","00-04","21-01",true,,"451947","06",,
"421877","1447382692","ST JAMES SANTEE FAMILY HEALTH CENTER INC","8189 CHOPPEE RD","GEORGETOWN",SC,"294406374",,33.5481109,-79.3333881,"8435458723","00-04",,,,,,,
"321892","1962663153","FIRST CHOICE COMMUNITY HEALTHCARE INC","7 MUNICIPAL WAY","EDGEWOOD",NM,"870157086","001",35.0925884,-106.19314286244463,"5058734577","00-04","21-01",true,,,"06",,
"111870","1033229059","MEDLINK WINDER","563 JEFFERSON HIGHWAY","WINDER",GA,"306801786","013",34.014372414798586,-83.69799068588375,"7067883234","00-04","21-01",true,,,"04",,
"211830","1679790299","BAY HUNDRED HEALTH CENTER","933 S TALBOT STREET UNIT 4","ST MICHAELS",MD,"216632605","041",38.7865839,-76.2244098,"4107450200","00-04","21-01",true,,,"03",,
"391825","1114940582","PHILA HLTH SERVS FAIRMOUNT HLTH CENTER","1420 FAIRMOUNT AVE","PHILADELPHIA",PA,"191333644","101",39.9669948367347,-75.1612663877551,"2152359600","00-04","21-01",true,,,"03",,
"391901","1174545115","NORRISTOWN REGIONAL HEALTH CENTER","1401 DEKALB STREET","NORRISTOWN",PA,"194013405","091",40.12376615,-75.33379415902888,"6102787787","00-04","21-01",true,,,"03",,
"361885","1598930877","LORAIN COUNTY HEALTH & DENTISTRY","3745 GROVE AVE","LORAIN",OH,"440552734",,41.436577797979794,-82.11992324242425,"4402401655","00-04",,,,"361885",,,
"361884","1841238417","LORAIN COUNTY HEALTH & DENTISTRY","1205 BROADWAY","LORAIN",OH,"440523409",,41.46021802630599,-82.17077243979672,"4402401655","00-04",,,,,,,
"351804","1457435802","NORTHLAND HEALTH PARTNERS CHC - TURTLE LAKE","416 KUNDERT STREET, POST OFFICE BOX 535","TURTLE LAKE",ND,"585754205","055",47.5187172244898,-100.89484320408162,"7014489225","00-04","21-01",true,,,"08",,
"551927","1336208255","ASIAN PACIFIC HEALTH CARE VENTURE, INC-LOS FELIZ","1530 HILLHURST AVENUE, SUITE 200","LOS ANGELES",CA,"900275516","037",34.0989006122449,-118.28729453061226,"3236443880","00-04","21-01",true,,,"09",,
"201835","1265460794","ISLANDS COMMUNITY MEDICAL SERVICES INC","ATLANTIC AVE","VINALHAVEN",ME,"048634119","013",44.0446542,-68.8322127,"2078634341","00-04","21-01",true,,,"01",,
"511887","1174725188","MONROE HEALTH CENTER PETERSTOWN","2869 SENECA TRAIL","PETERSTOWN",WV,"249635037",,37.3973437,-80.7992431,"3047534336","00-04",,,,"5118871",,,
"081801","1770699621","SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC","601 NEW CASTLE AVE","WILMINGTON",DE,"198015821",,39.727593,-75.543479,"3026556187","00-04",,,,,,,
"451949","1881021541","NUESTRA CLINICA DEL VALLE, INC.","105 S 10TH ST","DONNA",TX,"785373201",,26.170387898374464,-98.05320734712352,"9564645809","00-04",,,,"451949",,,
"331909","1851414965","HERITAGE HEALTH AND HOUSING, INC.","1727 AMSTERDAM AVE","NEW YORK",NY,"100314611",,40.6612839,-73.8131004,"2128620054","00-04",,,,"A100057341",,,
"171820","1669474425","COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC","3011 N MICHIGAN ST","PITTSBURG",KS,"667622546",,37.43706653061224,-94.69584630612245,"6202319873","00-04",,,,"110931",,,
"041851","1194922849","LITTLE ROCK COMMUNITY HEALTH CENTER","1522 WEST 10TH STREET","LITTLE ROCK",AR,"722076356","119",34.74152493877551,-92.28950791836733,"8705432380","00-04","21-01",true,,,"06",,
"251918","1912905993","TUNICA ROSA FORT SCHIOOL BASED CLINIC","1100 ROSA FORT DRIVE","TUNICA",MS,"386761823","143",34.702553,-90.374403,"6623633971","00-04","21-01",true,,"C00041","04",,
,"1033276027","G A CARMICHAEL FAMILY HEALTH CENTER, INC","3439 VAUGHAN RD","VAUGHAN",MS,"391799506",,32.806837,-90.0448355,"6626730373","00-04",,,,,,,
,"1548327463","G A CARMICHAEL FAMILY HEALTH CENTER, INC","6789 HIGHWAY 49 FRONTAGE RD","YAZOO CITY",MS,"391944476",,32.8550965,-90.4056469,"6627466200","00-04",,,,,,,
"441873","1356531610","STANTON HEALTH CENTER","17 FIRST STREET EAST","STANTON",TN,"380694426","075",35.4623038,-89.4020167,"7315482232","00-04","21-01",true,,"3340343","04",,
"391882","1043204811","RHD ABBOTTSFORD COMM HEALTH CENTER","4700 WISSAHICKON AVE","PHILADELPHIA",PA,"191444248",,40.0169754,-75.1725506,"2158439720","00-04",,,,"391882",,,
"551935","1396852455","NORTH COUNTY HEALTH PROJECT, INC.","2210 MESA DR","OCEANSIDE",CA,"920543701",,33.208271,-117.357974,"7607575841","00-04",,,,,,,
"331913","1073886131","INSTITUTE FOR URBAN FAMILY HEALTH","130 WEST TREMONT AVENUE","BRONX",NY,"104535436","005",40.8499251,-73.9145018,"2126330800","00-04","21-01",true,,,"02",,
"331910","1053685289","INSTITUTE FOR URBAN FAMILY HEALTH","1894 WALTON AVENUE","BRONX",NY,"104536018","005",40.8496738,-73.90900101441369,"2126330800","00-04","21-01",true,,,"02",,
"331911","1295729408","INSTITUTE FOR URBAN FAMILY HEALTH","16 E 16TH ST","NEW YORK",NY,"100033105",,40.7366569,-73.9919651,"2126330800","00-04",,,,,,,
"331911","1740553841","INSTITUTE FOR URBAN FAMILY HEALTH","50-98 EAST 168TH STREET","BRONX",NY,"104527929","005",40.831059,-73.90584,"2126330800","00-04","21-01",true,,,"02",,
"391926","1609091578","NORTH SIDE CHRISTIAN HEALTH CENTER","816 MIDDLE ST","PITTSBURGH",PA,"152124915",,40.455108,-79.999453,"4123214001","00-04",,,,,,,
"551932","1639185317","NCHS OCEANSIDE CARLSBAD HEALTH CENTER","605 CROUCH STREET, BLDG C","OCEANSIDE",CA,"920544415","073",33.19699383333333,-117.35366666666667,"7607574566","00-04","21-01",true,,"W9348B","09",,
"551934","1447267349","NORTH COUNTY HEALTH SERVICES INC","1130 2ND ST","ENCINITAS",CA,"920245008",,33.037566,-117.293951,"7609439994","00-04",,,,"W9348",,,
"551931","1073529681","NCHS RAMONA HEALTH CENTER","220 ROTANZI STRRET","RAMONA",CA,"920652583","073",33.035378,-116.86751322074122,"6197891223","00-04","21-01",true,,"W9348","09",,
"551933","1255347704","TRUECARE","3050 MADISON STREET","CARLSBAD",CA,"920081950","073",33.160465,-117.345916,"7607207766","00-04","21-01",true,,"W9348","09",,
"041852","1134137219","LEE COUNTY COOPERATIVE CLINIC","503 S BROADWAY ST","HUGHES",AR,"723489701",,34.95009404710254,-90.47809341491518,"8702955225","00-04",,,,,,,
"061850","1043512023","PEAK VISTA C H C - HOMELESS MEDICAL & DENTAL CLN","117 WEST RIO GRANDE STREET","COLORADO SPRINGS",CO,"809034013","041",38.8246359,-104.8549693,"7194712789","00-04","21-01",true,"C92908",,"08",,
"061877","1780988246","PEAK VISTA C H C - HC AT 350 PRINTERS PARKWAY","350 PRINTERS PARKWAY","COLORADO SPRINGS",CO,"809103190","041",38.82611918960376,-104.7862250127228,"7196325700","00-04","21-01",true,"C92908",,"08",,
"061879","1609178524","PEAK VISTA C H C - DIVIDE HEALTH CLINIC","11115 HIGHWAY 24","DIVIDE",CO,"808149219","119",38.0667788,-80.9662087,"7196874460","00-04","21-01",true,"C92908",,"08",,
"011922","1356498505","NORTHEAST ALABAMA HEALTH SERVICES, INC.","29810 AL HIGHWAY 71","BRYANT",AL,"359585240",,34.9436904,-85.63219,"2565974114","00-04",,,,,,,
"411814","1245219070","NORTHWEST COMMUNITY HEALTH CARE","36 BRIDGE WAY","PASCOAG",RI,"028593131",,41.95696795833334,-71.7022060625,"4015670800","00-04",,,,"411814",,,
"161819","1255339750","COMNMUNITY HEALTH CENTER OF SOUTHEASTERN IOWA","1706 WEST AGENCY ROAD","WEST BURLINGTON",IA,"526551667",,40.8125305,-91.17578395395378,"3197685858","00-04",,,"I9976",,,,
"511871","1093828568","MINNIE HAMILTON HEALTH CARE CENTER INC","809 MINERAL ROAD","GLENVILLE",WV,"263511342",,38.941629780211976,-80.82645839048294,"3043549244","00-04",,,,,,,
"011833","1396794426","MOSTELLAR MEDICAL CENTER","12701 PADGETT SWITCH ROAD","IRVINGTON",AL,"365444011","097",37.5322543,-121.9538481,"3348242174","00-04","21-01",true,"WMDP1204","D508","04",,
"261868","1477648327","SWOPE HEALTH SERVICES","11320 E TRUMAN RD","INDEPENDENCE",MO,"640502564",,39.09472390909091,-94.44340809090909,"8166272020","00-04",,,,,,,
"261866","1144366154","NORTHEAST MISSOURI FAMILY HEALTH","52334 BUSINESS HIGHWAY 5","MILAN",MO,"635563040",,40.202346,-93.125267,"6602651042","00-04",,,,"000014157",,,
"491820","1588792162","SOUTHERN ALBEMARLE FAMILY PRACTICE","ROUTE 1, BOX 292A, P O BOX 26","ESMONT",VA,"229371945","003",37.8312533,-78.607236,"8042863602","00-04","21-01",true,,,"03",,
"491837","1306975875","WESTMORELAND MEDICAL CENTER","PO BOX 880 18849 KING'S HIGHWAY","MONTROSS",VA,"225202965","193",38.0951338,-76.8274659,"8047694499","00-04","21-01",true,,,"03",,
"221844","1457300329","COMMUNITY HEALTH CENTER OF FRANKLIN COUNTY INCORPORATED","102 MAIN ST","GREENFIELD",MA,"013013224",,42.5879173,-72.6055828841603,"4133258500","00-04",,,,,,,
"441809","1982686614","CHRIST COMMUNITY MEDICAL CLINIC, INC","3362 SOUTH THIRD STREET","MEMPHIS",TN,"381092944","157",35.0564176291294,-90.05981357780587,"9013982442","00-04","21-01",true,,,"04",,
"141944","1194803213","CENTRO MEDICO","3700 W 26TH STREET","CHICAGO",IL,"606233824","031",41.8444822,-87.7174079,"7735425203","00-04","21-01",true,,,"05",,
"141946","1982783692","GENESIS CENTER,THE","1 N BROADWAY","DES PLAINES",IL,"600162335","043",42.0415823,-87.8873916,"7737364424","00-04","21-01",true,,,"05",,
"141949","1790863827","DOCTORS MEDICAL CENTER","6240 W 55TH STREET","CHICAGO",IL,"606382531","031",41.792697450000006,-87.77862834992902,"7732842200","00-04","21-01",true,,,"05",,
"141951","1033289970","PLAZA MEDICAL CENTER","2533 W CERMAK ROAD","CHICAGO",IL,"606083719","031",41.85191069984989,-87.68885455545755,"7735230900","00-04","21-01",true,,,"05",,
"141952","1598844268","KEDZIE FAMILY HEALTH CENTER","3213-21 W 47TH PLACE","CHICAGO",IL,"606323011","031",41.8075216,-87.6819654,"7732546044","00-04","21-01",true,,,"05",,
"141953","1164501896","ACCESS HAWTHORNE FAMILY HEALTH CENTER","3044 SOUTH CICERO AVENUE","CICERO",IL,"608043638","031",41.83780721688508,-87.74389301884963,"7087809777","00-04","21-01",true,,,"05",,
"141954","1972674315","SAN RAFAEL","3204 W 26TH STREET","CHICAGO",IL,"606234031","031",41.8446265,-87.7053025,"7739273100","00-04","21-01",true,,,"05",,
"141959","1790855187","PILSEN FAMILY HEATLH CENTER","1817 S LOOMIS STREET","CHICAGO",IL,"606083018","031",41.857753,-87.661206,"3126666511","00-04","21-01",true,,,"05",,
"251908","1770511370","JACKSON HINDS COMP HEALTH CENTER BROWN SCHOOL","146 EAST ASH STREET","JACKSON",MS,"392022217","049",32.31492346509201,-90.18889975072761,"6019605326","00-04","21-01",true,,,"04",,
"251911","1255360483","JACKSON HINDS COMP HEALTH CTR VAN WINKLE SCH BASED","1655 WHITING ROAD","JACKSON",MS,"392095826","049",32.304724285714286,-90.26590339285714,"6019232547","00-04","21-01",true,,,"04",,
"551926","1922020585","MENDOCINO COMMUNITY HEALTH CLINIC INC","45 HAZEL ST","WILLITS",CA,"954904222",,39.39971583333334,-123.35185299999999,"7074569600","00-04",,,,,,,
"521823","1790786929","LA CLINICA DE LOS CAMPESINOS, INC","400 S TOWNLINE RD","WAUTOMA",WI,"549826922",,44.072623,-89.2773829,"9207875514","00-04",,,,,,,
"141943","1598759292","COMMUNITY HEALTH CARE, INC-ROCKFORD","2750 11TH STREET","ROCK ISLAND",IL,"612015216","161",41.483426044059435,-90.58310589250858,"5633272100","00-04","21-01",true,,"207707","05",,
"141942","1710971486","COMMUNITY HEALTH CARE, INC-MOLINE","1803 7TH STREET","MOLINE",IL,"612651231","161",41.494910874999995,-90.5279380625,"3097578989","00-04","21-01",true,,"207707","05",,
"161801","1932193224","COMMUNITY HEALTH CARE","500 WEST RIVER DRIVE","DAVENPORT",IA,"528011014","163",41.52103865,-90.58050073158611,"5633363225","00-04","21-01",true,,"13238","07",,
"191817","1093843187","SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER INC","8762 HIGHWAY 182","OPELOUSAS",LA,"705705603",,30.5335302,-92.081509,"3379422005","00-04",,,,,,,
"131822","1306883244","BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC.","6615 COMANCHE ST","BONNERS FERRY",ID,"838057523",,48.7017718,-116.3198983,"2082671718","00-04",,,,,,,
"371833","1518070481","NORTHEASTERN OKLA COMMUNITY HEALTH CTR","124 E MAIN ST","HULBERT",OK,"744418902",,35.93269790070354,-95.14341805090643,"9187722879","00-04",,,,"100522043",,,
"271817","1235238718","BUTTE SILVER BOW PRIMARY HEALTH CARE CLINIC INC","41 BARRETT STREET","DILLON",MT,"597253508",,45.20641434693877,-112.64437540816327,"4066834440","00-04",,,,,,,
"101885","1609037944","FAMILY HEALTH CENTERS OF SW FLORIDA","930 S MAIN ST BOX 1260","LABELLE",FL,"339354448","051",26.7615384,-81.4385828,"8136752334","00-04","21-01",true,,"99409","04",,
"411815","1376708560","THUNDERMIST HEALTH CENTER OF WEST WARWICK","186 PROVIDENCE STREET","WEST WARWICK",RI,"028932508","003",41.71438545645608,-71.5157093750932,"4016152800","00-04","21-01",true,,"709000181","01",,
"101840","1497773055","BROWARD CO PRIMARY HEALTH CARE","2011 NW 3RD AVE","POMPANO BEACH",FL,"330604800","011",26.255654729341092,-80.127584135306,"3057862134","00-04","21-01",true,,"00020","04",,
"101841","1689692246","BROWARD CO PRIMARY HEALTH CARE","900 SW 31ST AVE","FORT LAUDERDALE",FL,"333121638","011",26.110253,-80.18585,"3055814888","00-04","21-01",true,,"00020","04",,
"061876","1841231990","DENVER HEALTH WOMEN'S MOBILE SERVICES","777 BANNOCK STREET","DENVER",CO,"802044507","031",39.72731935,-104.99119835138615,"3034366000","00-04","21-01",true,,,"08",,
"141941","1720142557","GREATER ELGIN FAMILY CARE CENTER","370 SUMMIT ST","ELGIN",IL,"601203843",,42.046485,-88.278019,"8445993700","00-04",,,,,,,
"371835","1437133790","COMMUNITY HEALTH CENTERS, INC","300 MARTIN L. KING","LANGSTON",OK,"73050",,35.9450505,-97.2553142,"4054662535","00-04",,,,,,,
"099471","1932156114","BLUESTEM HEALTH","1021 N 27TH ST","LINCOLN",NE,"685031803",,40.8237265625,-96.6820816875,"4024761455","00-04",,,,,,,
"391924","1992754014","HYNDMAN AREA HEALTH CENTER","PO BOX 706, 144 FIFTH AVENUE","HYNDMAN",PA,"155457379","009",39.8226321,-78.7187521,"8148423206","00-04","21-01",true,,,"03",,
"081803","1952303695","WESTSIDE HEALTH INC","908 E 16TH ST STE B","WILMINGTON",DE,"198025145",,39.7497202,-75.5436717,"3022251800","00-04",,,,"081803",,,
"211832","1336326248","FAMILY HEALTH CENTERS OF BALTIMORE INC","3540 S HANOVER ST","BALTIMORE",MD,"212251732",,39.23945465,-76.6094450415728,"4103550343","00-04",,,,"211832",,,
"451821","1912904897","GULF COAST HEALTH CENTER INC","2548 MEMORIAL BLVD","PORT ARTHUR",TX,"776402825",,29.90419357142857,-93.93610959183673,"4099831161","00-04",,,,,,,
,"1225036932","GULF COAST HEALTH CENTER INC","755 N 4TH ST","SILSBEE",TX,"776563802",,30.353879411415058,-94.17493471969722,"4093861222","00-04",,,,,,,
,"1508864216","GULF COAST HEALTH CENTER INC","610 STRICKLAND DR STE 380","ORANGE",TX,"776304787",,30.095851675675675,-93.76451556756756,"4098864400","00-04",,,,,,,
,"1639176324","GULF COAST HEALTH CENTER INC","103 EAST GIBSON","JASPER",TX,"759515134",,30.7485258,-94.000884,"4093798338","00-04",,,,,,,
