SNOMED,ICD
6040009,A318
15042005,A318
24311002,A318
111809003,A318
234091000,A318
235601001,A318
240413000,A318
240414006,A318
371685005,A318
372932003,A318
373009006,A318
373010001,A318
373011002,A318
373012009,A318
373013004,A318
373014005,A318
373015006,A318
373016007,A318
373017003,A318
373018008,A318
373019000,A318
373020006,A318
373021005,A318
373022003,A318
373023008,A318
373024002,A318
373025001,A318
373026000,A318
373027009,A318
373028004,A318
373030002,A318
373031003,A318
373032005,A318
373033000,A318
373034006,A318
373035007,A318
373036008,A318
373037004,A318
373038009,A318
373039001,A318
373040004,A318
373041000,A318
373042007,A318
373043002,A318
373044008,A318
373045009,A318
373046005,A318
373047001,A318
373048006,A318
373049003,A318
373050003,A318
373051004,A318
373052006,A318
373053001,A318
373054007,A318
373055008,A318
373056009,A318
373057000,A318
373058005,A318
373059002,A318
373069008,A318
373070009,A318
373072001,A318
373073006,A318
373074000,A318
373075004,A318
373076003,A318
373077007,A318
373078002,A318
373079005,A318
373085003,A318
373578005,A318
417115008,A318
423526009,A318
423726006,A318
423969008,A318
424146000,A318
427520002,A318
702993005,A318
702999009,A318
703026000,A318
703057000,A318
838387004,A318
838389001,A318
860841006,A318
860843009,A318
860846001,A318
860847005,A318
860850008,A318
1163546007,A318
1163555005,A318
88415009,A319
111811007,A319
111812000,A319
240383005,A319
240415007,A319
406594003,A319
423892009,A319
430945004,A319
713967004,A319
838388009,A319
838391009,A319
870272002,A319
870343000,A319
436531000124105,A319
402128003,A320
24630008,A3212
31568009,A3212
240393003,A3212
445359003,A3212
449335002,A327
29786001,A3281
186319007,A3281
186318004,A3282
186317009,A3289
406590007,A3289
707211005,A3289
57420002,A329
43424001,A33
61145000,A33
76902006,A33
87866006,A33
240432006,A33
240433001,A33
314367006,A33
13766008,A34
186378005,A34
240429008,A34
240431004,A35
240434007,A35
276202003,A35
3419005,A360
129583005,A360
697991001,A360
715659006,A360
722551008,A360
789005009,A360
75589004,A361
1090211000119100,A361
50215002,A362
18901009,A363
26117009,A3681
194945009,A3681
1086051000119100,A3681
129667001,A3682
1086061000119100,A3682
230596007,A3683
1163077002,A3684
42231000009109,A3684
1086071000119100,A3684
48278001,A3685
7773002,A3686
102451006,A3686
1177005009,A3686
1208903007,A3686
13596001,A3689
15682004,A3689
186347006,A3689
240422004,A3689
276197005,A369
397429008,A369
397430003,A369
27836007,A3700
93417001,A3700
408682005,A3700
59475000,A3701
77116006,A3711
1092951000119100,A3711
58217006,A3780
192650000,A3790
271567008,A3790
782715005,A3790
1090001000119100,A380
1089931000119100,A381
238427006,A388
30242009,A389
43878008,A389
186357007,A389
192644005,A390
36102002,A391
237766002,A391
4089001,A392
186365005,A392
240426001,A393
127181000119102,A394
33618002,A3951
34845009,A3951
91468009,A3952
194950003,A3952
17079009,A3953
66704002,A3953
194906004,A3953
73431005,A3982
230507009,A3982
1089801000119100,A3982
9467007,A3983
240428000,A3984
94151004,A3989
238425003,A3989
240427005,A3989
23511006,A399
707225006,A399
127311000119106,A399
448421008,A403
127121000119101,A403
127261000119100,A403
448422001,A408
22241000175107,A4101
448812000,A4102
127191000119104,A4102
128381000119104,A4102
449505005,A411
447894003,A412
127751000119108,A412
447685007,A413
449546000,A413
127171000119100,A413
447843005,A414
1149482004,A414
127141000119107,A414
449082003,A4150
501000119108,A4150
1149481006,A4151
448813005,A4152
721572008,A4152
127201000119101,A4152
449084002,A4153
126811000119102,A4153
127231000119108,A4153
448483008,A4159
1149486001,A4159
448420009,A4181
1153534006,A4181
1092491000119100,A4181
1092591000119100,A4181
194394004,A4189
1092471000119100,A4189
42939002,A419
707271004,A419
21846001,A420
195908008,A420
61564002,A421
186394003,A421
186395002,A421
266090008,A421
1163145003,A421
1193729000,A421
1193731009,A421
240436009,A422
240437000,A422
240439002,A422
240440000,A422
422770008,A422
424327005,A422
447898000,A427
192649000,A4281
445059005,A4281
721752000,A4281
721754004,A4281
23014006,A4282
1082451000119100,A4282
6365004,A4289
24779007,A4289
43894001,A4289
56728002,A4289
197964007,A4289
230209006,A4289
237048004,A4289
237085007,A4289
237448006,A4289
240438005,A4289
240441001,A4289
402992008,A4289
866045007,A4289
11817007,A429
721751007,A429
1163501006,A429
30721000112104,A429
2087000,A430
195909000,A430
64650008,A431
240443003,A431
402129006,A431
402985003,A431
402986002,A431
402987006,A431
402989009,A431
402990000,A431
721753005,A438
860822008,A438
14770001000004100,A438
29227009,A439
703007008,A439
76366001,A440
186825001,A440
240453002,A440
262461007,A440
240455009,A441
240456005,A441
240457001,A441
240624008,A448
416205001,A448
1141788003,A448
1141789006,A448
240452007,A449
266123003,A449
715065007,A449
61624008,A46
194202008,A46
240425002,A46
402924002,A46
402925001,A46
698567002,A46
15936661000119100,A46
15936701000119100,A46
15936741000119100,A46
63194008,A480
65154009,A480
80466000,A480
186414001,A480
186415000,A480
186416004,A480
186417008,A480
186418003,A480
186419006,A480
186420000,A480
186421001,A480
186422008,A480
186423003,A480
238401006,A480
240108006,A480
240109003,A480
240110008,A480
240435008,A480
266091007,A480
266092000,A480
266093005,A480
266094004,A480
266095003,A480
443491001,A480
699951008,A480
699952001,A480
76090006,A481
195889001,A481
269574000,A481
408680002,A481
408681003,A481
26726000,A482
240445005,A482
240446006,A482
240447002,A482
240448007,A482
240449004,A482
18504008,A483
240450004,A483
240451000,A483
442073005,A483
127411000119102,A483
127421000119109,A483
8554002,A484
240859005,A484
722892007,A484
398523009,A4851
409564005,A4851
414488002,A4851
414820001,A4851
840421000,A4851
269406001,A4852
398530003,A4852
409562009,A4852
10865002,A488
49894005,A488
70413005,A488
72409005,A488
83436008,A488
87961002,A488
186431008,A488
284183005,A488
371582002,A488
408637006,A488
408638001,A488
409789001,A488
426006006,A488
698227004,A488
712830002,A488
1172959002,A488
56038003,A4901
444101006,A4902
444102004,A4902
16814004,A491
85769006,A491
405633009,A491
405634003,A491
406613000,A491
406617004,A491
406618009,A491
423271002,A491
426933007,A491
447331003,A491
702987002,A491
703001009,A491
703023008,A491
703227004,A491
703238004,A491
703855007,A491
712531005,A491
713455005,A491
713614001,A491
721740007,A491
721743009,A491
721747005,A491
108661000119109,A491
117271000119102,A491
91428005,A492
406583002,A492
722722006,A492
186464008,A493
422167001,A493
866086000,A493
2918000,A498
26195002,A498
41659003,A498
46102000,A498
56688005,A498
63398001,A498
86375009,A498
87094002,A498
111805009,A498
111835002,A498
128945009,A498
129669003,A498
186437007,A498
186463002,A498
193198003,A498
264575002,A498
397434007,A498
397454008,A498
402936008,A498
406621006,A498
406622004,A498
406623009,A498
406625002,A498
409802002,A498
409803007,A498
409804001,A498
421445005,A498
444313007,A498
445780006,A498
446156008,A498
450861006,A498
698161008,A498
702936000,A498
702937009,A498
702938004,A498
702939007,A498
702986006,A498
702988007,A498
702991007,A498
702992000,A498
702994004,A498
702995003,A498
702996002,A498
702998001,A498
703000005,A498
703003007,A498
703004001,A498
703005000,A498
703006004,A498
703008003,A498
703010001,A498
703011002,A498
703012009,A498
703013004,A498
703014005,A498
703019000,A498
703021005,A498
703022003,A498
703027009,A498
703028004,A498
703029007,A498
703030002,A498
703032005,A498
703033000,A498
703034006,A498
703035007,A498
703036008,A498
703037004,A498
703038009,A498
703056009,A498
703058005,A498
703059002,A498
703060007,A498
703229001,A498
703237009,A498
703239007,A498
703240009,A498
703242001,A498
703261002,A498
707274007,A498
721735004,A498
721736003,A498
721756002,A498
721759009,A498
1137353009,A498
1230394004,A498
1230395003,A498
32811000119109,A498
34521000087103,A498
108871000119104,A498
119871000119109,A498
135341000119101,A498
25290001000004100,A498
87628006,A499
230181004,A499
230611005,A499
312118003,A499
312126006,A499
312128007,A499
371583007,A499
409796004,A499
423451008,A499
426084006,A499
428875002,A499
430946003,A499
762285009,A499
1142078006,A499
9941009,A5001
27648007,A5002
58392004,A5002
266125005,A5005
275376007,A5005
276700005,A5005
39085002,A5006
59721007,A5006
60528006,A5006
235065009,A5006
240563008,A5006
371237000,A5006
721583004,A5006
54069001,A5007
36752001,A5008
56118002,A5008
4359001,A501
46235002,A501
186833000,A501
76272004,A502
186842007,A5030
788998009,A5030
44568006,A5031
193786000,A5031
866106004,A5031
21523006,A5040
26039008,A5040
64102008,A5040
240566000,A5040
1052319006,A5040
1177060002,A5040
6267005,A5041
230152000,A5041
26135000,A5042
32735002,A5042
230563005,A5043
240569007,A5043
266126006,A5044
722990003,A5044
1142031005,A5044
13310005,A5045
51928006,A5045
68764005,A5045
82959004,A5045
266133006,A5045
314840009,A5045
698725008,A5045
75299005,A5049
240552005,A5049
240555007,A5049
1142112002,A5049
19290004,A5051
109436001,A5052
1177081002,A5052
86443005,A5053
240554006,A5053
1142095003,A5054
47381006,A5056
50528008,A5056
239781004,A5056
609379005,A5056
1142092000,A5056
77782006,A5057
87318008,A5059
735515000,A5059
827006,A506
186903006,A506
82323002,A507
35742006,A509
235898000,A509
703134008,A509
13095005,A510
186846005,A510
186847001,A510
266127002,A510
402940004,A510
402941000,A510
402943002,A510
31015008,A511
240556008,A511
10345003,A512
27460003,A512
28198007,A512
54274001,A512
237446005,A512
237447001,A512
370501004,A512
402942007,A512
736686006,A512
91554004,A5131
402944008,A5131
402945009,A5131
402946005,A5131
59307008,A5132
4483005,A5139
51960003,A5139
52414005,A5139
55768006,A5139
59233003,A5139
77028001,A5139
81339006,A5139
186850003,A5139
240558009,A5139
240560006,A5139
240561005,A5139
240562003,A5139
266128007,A5139
866115006,A5139
1052321001,A5139
68863007,A5141
186863009,A5141
192647003,A5141
240564002,A5141
301086002,A5141
198175009,A5142
13731006,A5143
30080002,A5143
66281009,A5143
77939001,A5143
186854007,A5143
410470003,A5143
711617002,A5143
1052322008,A5143
1177029002,A5143
15677801000119100,A5143
15677841000119100,A5143
15677881000119100,A5143
15679481000119100,A5143
15679561000119100,A5143
15679681000119100,A5143
15685441000119100,A5143
15685481000119100,A5143
15685521000119100,A5143
15993311000119100,A5143
15993351000119100,A5143
15993391000119100,A5143
15993471000119100,A5143
80770009,A5145
197348008,A5145
63751007,A5146
69595007,A5146
1052323003,A5146
37430004,A5149
58227000,A5149
59934002,A5149
62861003,A5149
85857008,A5149
186861006,A5149
235764000,A5149
240557004,A5149
402948006,A5149
866074003,A5149
1052296002,A5149
1052300001,A5149
1142099009,A5149
431901000124100,A5149
1107004,A515
31137003,A515
67125004,A515
186867005,A515
186868000,A515
266130009,A515
444150000,A515
83883001,A5200
12232008,A5201
20735004,A5202
61612001,A5202
312383007,A5202
42770003,A5203
45058001,A5203
58056005,A5203
67391006,A5203
82355002,A5203
186875004,A5203
186877007,A5203
186878002,A5203
233849007,A5203
278480000,A5203
459068007,A5203
459152004,A5203
459153009,A5203
1142043006,A5203
94851000119107,A5203
230735006,A5204
186893003,A5205
234017002,A5205
3589003,A5206
62207008,A5206
194907008,A5206
240567009,A5206
4082005,A5209
194947001,A5209
460352004,A5209
69131009,A5211
425219008,A5211
240568004,A5213
230182006,A5214
866090003,A5214
870293004,A5214
19206003,A5215
22386003,A5215
36276008,A5215
302813001,A5215
721261004,A5215
870319003,A5215
870347004,A5215
239825002,A5216
359554008,A5216
104471000119105,A5216
315826004,A5217
38523005,A5219
724546003,A5219
37754005,A522
240565001,A522
11338007,A5271
312934004,A5271
312955002,A5271
410468007,A5271
410469004,A5271
410478005,A5271
789008006,A5271
860894002,A5271
870273007,A5271
870331001,A5271
890114008,A5271
890115009,A5271
1177028005,A5271
1177076006,A5271
331151000119109,A5271
8555001,A5272
1010615002,A5272
232367004,A5273
16070004,A5274
34964002,A5274
86028001,A5274
197347003,A5274
235896001,A5274
59530001,A5275
197757004,A5275
29500006,A5276
197966009,A5276
129133005,A5277
201738001,A5277
49923008,A5278
88943008,A5278
202933002,A5278
713312005,A5278
838317007,A5278
91002001,A5279
232313005,A5279
235032001,A5279
235062007,A5279
235064008,A5279
402949003,A5279
402950003,A5279
402951004,A5279
405635002,A5279
788975001,A5279
789121002,A5279
66887000,A528
266136003,A528
72083004,A529
278481001,A529
402947001,A529
165781001,A530
402952006,A539
16898641000119100,A5400
24868007,A5401
29864006,A5401
44412000,A5401
44741008,A5401
59020000,A5401
72225002,A5401
88813005,A5401
197848003,A5401
236622000,A5401
236682002,A5401
240574004,A5401
240576002,A5401
240577006,A5401
307426000,A5401
428091000,A5401
431737008,A5401
2390000,A5402
6887003,A5402
11906007,A5402
14248008,A5402
24520005,A5402
33028007,A5402
186915005,A5402
237044002,A5402
19272000,A5403
20943002,A5403
54825009,A5403
76802005,A5403
237037006,A5403
237083000,A5403
46090001,A5409
238419002,A5409
240575003,A5409
737206009,A5409
788961008,A5409
12373006,A541
55069005,A541
69430001,A541
80604007,A541
235861001,A541
402957000,A541
444820005,A541
1087021000119100,A541
1087041000119100,A5421
16217981000119100,A5421
60893000,A5422
111806005,A5422
197967000,A5422
1179682002,A5422
1179689006,A5422
10194007,A5423
23975003,A5423
30168008,A5423
35526001,A5423
43491000,A5423
45082006,A5423
65049003,A5423
236766009,A5423
236768005,A5423
236772009,A5423
301990003,A5423
312224002,A5423
31999004,A5424
43522000,A5424
45377007,A5424
50970007,A5424
53529004,A5424
58949002,A5424
63922003,A5424
65295003,A5424
67667007,A5424
80388004,A5424
186939000,A5424
198242009,A5424
237038001,A5424
237046000,A5424
237069002,A5424
240581006,A5424
276882005,A5424
280516007,A5424
307423008,A5424
17305005,A5429
28572009,A5429
735516004,A5429
28438004,A5431
231858009,A5431
240571007,A5431
276680000,A5431
719755001,A5431
721281003,A5431
870359000,A5431
9091006,A5432
342381000119109,A5432
40149008,A5433
35876006,A5439
111807001,A5439
1163495009,A5439
53664003,A5441
240583009,A5442
272006008,A5442
61011009,A5443
733131001,A5443
1087051000119100,A5443
44743006,A5449
46699001,A5449
240039005,A5449
240582004,A5449
363164004,A5449
866138009,A5449
74372003,A545
42746002,A546
186931002,A546
1087001000119100,A546
151004,A5481
406581000,A5481
721240006,A5481
1086991000119100,A5482
9241004,A5483
61048000,A5483
90428001,A5483
194910001,A5483
1052287002,A5483
1087061000119100,A5484
237042003,A5485
386041004,A5485
5085001,A5486
1092501000119100,A5486
1092601000119100,A5486
18071005,A5489
60335002,A5489
235863003,A5489
240584003,A5489
402663007,A5489
402927009,A5489
402956009,A5489
402958005,A5489
713261005,A5489
860805006,A5489
15628003,A549
27681008,A549
240572000,A549
409790005,A549
702990008,A549
